Image Name,Total Green Pixels,Percent of Total
02_01_2024_00:00,111490,0.03716333333333333
02_02_2024_00:00,13565,0.004521666666666667
02_03_2024_00:00,154040,0.051346666666666665
02_04_2024_00:00,170083,0.05669433333333333
02_05_2024_00:00,163529,0.054509666666666665
02_06_2024_00:00,136382,0.04546066666666667
02_07_2024_00:00,269300,0.08976666666666666
02_08_2024_00:00,297677,0.09922566666666667
02_09_2024_00:00,226917,0.075639
02_10_2024_00:00,148592,0.04953066666666667
02_11_2024_00:00,164348,0.05478266666666667
02_12_2024_00:00,171327,0.057109
02_13_2024_00:00,112309,0.037436333333333335
02_14_2024_00:00,224426,0.07480866666666666
02_15_2024_00:00,200129,0.06670966666666667
02_16_2024_00:00,108535,0.03617833333333333
02_17_2024_00:00,153373,0.051124333333333334
02_18_2024_00:00,152572,0.05085733333333333
02_19_2024_00:00,143034,0.047678
02_20_2024_00:00,105688,0.035229333333333335
02_21_2024_00:00,51690,0.01723
02_22_2024_00:00,35467,0.011822333333333334
